,Surface Displacement,Displacement Into Surface,Load On Sample,Modulus,Stiffness^2/Load,Hardness,Row Number,Contact Depth,Contact Area,Time,Unnamed: 10
217,16302.57353469004,961.5553442680496,97.52133805426534,420.46483929002824,26664.615422530966,4.963018022401352,8.0,916.1984377203363,19649603.852754038,828.3359999943012,217.0
218,15644.758101457854,1011.01552232097,76.53131454764525,292.56391918528004,21808.719615689963,3.513118267274307,8.0,966.5866013891387,21784440.125616085,830.8339999942422,218.0
219,15333.58831097102,996.0874649137814,84.83899451776321,292.1022432740372,18816.23422759514,4.0617367188037745,8.0,945.726659804998,20887369.219428193,833.4559999941802,219.0
220,15329.282944484614,1022.0793554948583,61.41629469257896,348.143427907952,37334.49081278956,2.683393616135012,8.0,991.6601439684081,22887545.95050392,836.5039999941081,220.0
221,16059.83156549023,925.8379360949951,63.486948872974516,393.96316723584204,35561.258219584466,3.386000388885545,8.0,894.1484692927382,18749835.080163814,840.4739999940142,221.0
222,17509.44902410248,1029.6756621479728,74.09231392031748,393.4314458223404,37459.38415553227,3.2080775387512657,8.0,996.3201567144864,23095549.601072825,845.0559999939059,222.0
223,18024.654126470487,946.4137844529706,26.958116481191823,152.1536058840338,18831.58027853702,1.366657976259298,8.0,918.037034512401,19725576.51547853,848.6659999938205,223.0
229,17992.778299203415,934.7188861211697,48.231222592686144,358.11121393483285,41971.53559086115,2.490557413205687,8.0,909.2946467153545,19365633.707920022,863.6679999934657,229.0
230,18926.006321393186,884.0977485142198,22.849514592203814,160.62207646574797,21523.166269572583,1.314355169286423,8.0,859.66081696643,17384581.52419262,867.6899999933706,230.0
231,18515.836232699676,939.1986418239899,29.840761774720523,218.70486906287863,31498.638442926123,1.5189134023027127,8.0,916.1141496312632,19646124.47917119,870.4459999933055,231.0
232,18058.15259674348,973.4927235964378,48.780363646411054,219.96961329473103,20306.212469980197,2.3787871764101474,8.0,936.7332471570003,20506400.963547315,873.0359999932442,232.0
233,18671.485919652576,1020.0339934949793,26.947910150801277,162.1202964176769,24586.367674446465,1.1693277278105514,8.0,995.2039990295607,23045643.671905845,876.7539999931563,233.0
234,18542.010556173205,1001.9354052815132,30.88721268207299,218.06195966845254,34447.92498079788,1.3820902903609988,8.0,979.4775080928343,22348187.30548011,879.7639999930851,234.0
235,17697.533138592713,969.1462140985936,26.19747715700774,138.06411675707386,17081.101850297877,1.2695756339061073,9.0,939.7742453519702,20634829.826093845,893.6999999927556,235.0
236,17456.156460986364,857.2165022440017,56.83810965436539,298.04571031212885,21988.60617881362,3.5873571918844487,9.0,819.0851483482581,15844006.217989177,896.6539999926857,236.0
237,17744.415190562937,968.6731241311096,26.740174083831466,144.4967870300052,18141.14585999441,1.2955987177599508,9.0,939.8785260521211,20639240.92952514,900.0319999926058,237.0
238,17469.276771689933,989.0893015643534,27.00427453935455,163.40433415721841,23372.279589599584,1.2470412423695043,9.0,963.595947116589,21654676.382670157,902.8019999925403,238.0
239,17140.705274112523,865.7990508448956,29.01387258592168,218.9524096881938,27565.24629769117,1.738918728894719,9.0,841.4667501647532,16685007.817681795,905.5559999924752,239.0
249,17152.283372400794,928.6966255802475,62.36705841824993,402.1991491851452,37632.61829266867,3.2977240196776156,9.0,898.1645255860763,18912152.152849622,930.1579999918935,249.0
250,16945.222178406202,919.5000376688845,30.56730101629138,207.03192660769147,26779.832376445585,1.6302255872010634,9.0,894.1612470333853,18750350.41547374,933.219999991821,250.0
251,17318.550167974623,984.8631317206033,27.328638409031498,180.88416837097344,27384.48589212332,1.268167394482048,9.0,961.1702457316549,21549709.074639328,936.7239999917382,251.0
256,17452.09976267285,977.1363269244215,57.595398875126975,375.4156763420917,40945.75875537307,2.739087780341096,9.0,949.007559845031,21027219.094071776,949.5559999914348,256.0
257,18527.801430356907,995.0505681647726,27.04220895558987,170.89303733912624,25579.780712557706,1.2313170270551552,9.0,970.6649405814545,21962019.82219365,954.0899999913275,257.0
258,17990.066550335872,1012.1155530131887,75.13148508783789,289.32691065960216,21899.096174987335,3.4378848271588893,9.0,968.1857602354486,21853985.47802065,956.7379999912649,258.0
259,18527.377495596633,962.4874727821864,27.286989627885696,182.95135686089355,26708.29186270234,1.3257958046631695,9.0,938.5148241722882,20581592.981294885,960.497999991176,259.0
260,18165.52590821471,819.9146824846007,53.0714711524418,366.37668942218704,30010.750599840336,3.6041182239123013,9.0,788.3752846145433,14725230.376830498,963.3139999911094,260.0
261,16263.730790177626,954.7309604206105,58.942796489974604,391.0724432486645,40543.33899613025,2.938047430921883,10.0,926.1341974662334,20061894.12383989,976.1779999908052,261.0
262,16472.63634139838,993.1942641399397,60.86487506320563,386.63710270998956,41756.609367759476,2.8052885546996817,10.0,964.5602643490037,21696475.737313762,979.5419999907257,262.0
263,17651.688973282297,929.2817689784655,46.92815102581326,347.87319108208044,40819.374812929964,2.451425732984238,10.0,903.8518597109405,19143207.315803677,983.969999990621,263.0
264,17436.216506818055,884.667760289784,30.054454549111295,202.75341667709986,24308.093632364806,1.7340837025784759,10.0,858.2959320593249,17331605.449276857,986.8839999905521,264.0
